code,year,type,subtype,fatalities,location,source,description
,1869.08,lynching,race,1,"Hillsborough, NC",Gilje,August: 75 to 100 disguised men took two blacks - accused with barn burning - from jail and killed one.
,1869.08,riot,race,2,"Livingston, MS",Gilje,"August: KKK raid town. Attack home of Gerard Choutteau. Gun battle ensues, one defender killed and one Klan member. On the same raid KKK wounded black legislator George W. Houston in his home."
,1869.08,riot,political,4,"Mobile, Alabama",Gilje,"August: Political rally celebrating Republican victory led to rioting with whtie Democrats who were there as well. Guns fired and brickbats thrown. Rally crowd estimated at 1,000. Three blacks and one white killed and at least seven blacks and eight whites wounded.	"
,1869.08,riot,race,2,"Tennessee Valley, AL",Gilje,"August: Extensive night riding by masked raiders; two persons killed, many more raped, whipped, and robbed of guns. Both blacks and whites attacked."
,1869.12,lynching,race,1,"Alamance, NC",Gilje,"December: KKK whipped a black man, forced him to mutilate his own penis. The man died soon thereafter."
,1869.12,lynching,race,1,"Alamance, NC",Gilje,December: KKK whipped a black man; he died soon thereafter.
,1869.12,riot,race,1,"Alamance, NC",Gilje,December: KKK raided a black home where about 20 persons were having a frolic. They so abused a 4 month old that he died a week later. They also whipped three men.
,1869.12,riot,political,2,NYC,HC_1869_12_04.pdf,A gunfight among politicians
,1869.12,riot,section,3,"Obion Co, TN",Gilje,"December: KKK attacks plantation of William Jones, who with his black workers, beat off the attack, killing one and wounding others. The KKK convinced authorities to arrest Jones and several blacks. As they were being taken to jail, the KKK attacked, killing two blacks and wounding three others."
,1870.00,lynching,race,5,"Calhoun Co, AL",Gilje,"Klan active against blacks and against Northern employees on railroad. After a fight between white and black boys, 8 to 10 blacks fired on whites, near church. In retaliation, whites the next day had 5 blacks arrested. That night 50-60 KKK came into town and lynched the blacks."
,1870.00,riot,race,3,"Danville, KY",Gilje,"Regulators visit home of black man, murdered his wife. Then he attacked them with a gun, killing several."
,1870.00,lynching,race,6,"Fayette County, A",Gilje,"April-November: Klan started activity, whipping and maltreating blacks. Five blacks and one white murdered. In the meantime an anti-KKK regulators formed called Mossy-beaks. Fights between the two."
,1870.00,riot,race,1,"Graham, NC",Gilje,"KKK visit a black man. He and his wife resist, killing one."
,1870.00,riot,race,3,"Green, Sunter, Tuscaloosa, Pickens Co, AL",Gilje,"Klan very active whipping blacks, burning churches and killing some blacks.	"
,1870.00,lynching,race,7,"Greene County, AL",Gilje,"Early: KKK murders 7 in 3 months, burns schools and forces teachers to quit."
,1870.00,lynching,race,1,"Hale Co, AL",Gilje,Fall: Klan lynched a black suspected of burning gin houses.
,1870.00,riot,race,3,Kentucky,NYT,"Benjamin Boy (white) quarelled with Negroes at a church festival over a dog; shot and wounded several, was killed by return fire. Later KKK hung two of the five Negroes arrested after the shootings."
,1870.00,lynching,race,3,"Manchester, TN",Gilje,Fall: Lynchings and murders reported.
,1870.00,lynching,race,1,"Okibbeha Co, MS",Gilje,Disguised party took black out of jail and lynched him.
,1870.00,lynching,race,1,"Tishomingo Co, MS",Gilje,Disguised party lynched black man.
,1870.00,assassination,political,1,TX,Kirkham et al 1970,"Gaylord Clark, District Judge, was shot, killed by Frank WIlliamns who sought judgeships for himself"
,1870.00,lynching,race,1,"Winston Co, MS",Gilje,Disguised party of whites take black from local jail and lynch him.
,1870.02,lynching,race,1,"Graham, Alamance Co, NC",Gilje,"February: 75 Klansmen rode into town, seized Wyatt Outlaw - a black town councilman and organizer of the Union League - and hanged him from a tree close to the courthouse."
,1870.02,lynching,race,1,"Lexington, KY",Gilje,"February: KKK hanged a black man on Tates Creek Pike, 9 miles from Lexington. The black had been acquitted in court of hog stealing."
,1870.03,assassination,"political, race",2,"Eaton and Green Co, AL",Gilje,"March: A band of 30 to 40 disguised men rode into Eaton at night and killed white Republican county solicitor, Alexander Boyd. Same night a prominent black Republican killed in county."
,1870.03,lynching,extralegal,2,"Jacinto, MS",Gilje,"March: 100 or more KKK broke into local jail and lynched 2 inmates, 1 black, one white."
,1870.05,assassination,political,1,"Coswell, NC",Gilje,"May: KKK murders John W. Stephens, a Republican leader who had close ties to blacks through subterfuge at a political meeting."
,1870.07,riot,race,1,Belmont,Gilje,July: Republican rally broken up and other aggressions committed. About 200 blacks thereafter organized to defend themselves. Whites armed and prepared to disarm blacks - which they did under sheriff's auspices. One black killed in the process.
,1870.07,lynching,race,7,"Cross Plains, AL",Gilje,"July: KKK, unsatisfied with court proceedings against William Luke, a white teacher of blacks, and a group of blacks who fired upon whites the day before, take Luke and four blacks and hang them. They also kill two other blacks that they captured. At least 60, maybe over 70 involved."
,1870.07,riot,race,5,"Cross Plains, AL",Gilje,"July: A fight broke out between a white and a black. The white's friends helped to beat up the black. Later, the black man - Green Little - gathered about 10 friends at nearby Patonia. These men went in search of the whites. At Cross Plains they exchanged gun fire with the whites. Innocent bystanders, white, leaving church caught in crossfire. Blacks later arrested and lynched."
D,1870.07,riot,ethnic,3,NYC,HC_1870_07_13.pdf,Orangemen vs Irish. 3 workmen are known to have been killed.
,1870.07,riot,ethnic,3,NYC,Gilje,"July: Orangemen celebrating Battle of the Boys attacked by Irish during parade on 8th avenue. In battle that followed, shots were exchanged. At least three killed. Orangemen driven off."
,1870.07,riot,ethnic,1,NYC,Gilje,July: A gang starts 3 fights; 2 at bars when they ordered drinks and then refused to pay; last in an attack on a party of Germans. One man killed two critically wounded.
,1870.07,riot,extralegal,1,"Oquawka, IL",Gilje,July: Vigilance Committee attacked gunboat - gambling/prostitution barge - burning it and seizing two prostitutes whom they turned over to authorities. This occurred after a man was murdered in a brawl there.
,1870.08,assassination,"race, political",1,"Gainsville, AL",Gilje,"August: Band of armed whites shot and killed Reverend Richard Burke, a black legislator."
,1870.08,riot,race,1,"Lexington, KY",Gilje,"August: Black protesters march down Main street singing ""John Brown's Bodey,"" firing pistols in the air. Police attempt to disperse. Fight erupts and one policeman killed. Crowd then quickly dispersed, the murderer was caught and official moved to protect black section of town."
,1870.08,riot,labor,1,"Peekskill, NY",HC_1870_08_04.pdf,Strikers vs. scabs
,1870.08,riot,race,1,"Versailles, KY",Gilje,August: Klan invaded town and killed two blacks.
,1870.09,lynching,"race, political",1,"Greene Co, AL",Gilje,"September: Band of KKK took Guilford Coleman from his home, beat and mutilated him and threw his body down a well. Coleman was killed because he was one of the few blacks in the area to attend the Republican Convention."
,1870.10,riot,race,4,"Eutaw, AL",Gilje,"October: Armed Democrats broke up a Republican meeting (biracial), held by Long. Charles Hays. Other leading Republican candidates there, including Governor William Smith and senator Werner. 54 blacks injured, four or five died."
,1870.10,riot,"race, political",13,"Laurensville, SC",Gilje,"October: Street fight between white conservative and constable escalated into a gun battle between blacks and whites. Blacks driven from town. Posses roamed the countryside, killing unknown number of blacks. Foner says 13 blacks killed."
,1870.10,riot,race,6,"Mariana, FL",Gilje,"October: Up to the 1st both blacks and whites ambushed one another. The shooting attack on Colonel Coker, a KKK leader, that wounded him and killed his daughter, led to a Klan takeover of the town. At least two black men, and the wife and child of one of these, as well as a Jewish merchant were killed during this reign of terror."
,1870.10,riot,political,1,Philadelphia,Gilje,"October: A crowd of toughs invade the meeting of judges of election returns. One of the judges, Alexander Cranford, shot John C. Nolen, a democratic politician in the affray. Nolen died three days later. Violence frequently occurred in election."
,1870.11,riot,political,2,"Baton Rouge, LA",Gilje,November: Attempt by Dems to steal ballot box led to riot. Several blacks killed and wounded. Troops restore order. At least two dead.
,1870.11,riot,race,5,"Coosa County, AL",Gilje,"November: Klansmen in bands in disguise visited plantations around Nixburg after elections demanding to know how blacks voted and intended to vote in the future. Republicans were whipped, shot, or hanged, depending on how the whites felt. They also burned a black church."
D,1870.11,riot,race,2,"Donaldsonville, LA",HC_1870_11_11.pdf,500 negroes have repportedly killed the judge and mayor of Donaldsonville.
,1870.11,riot,political,2,"Donaldsville, LA",Gilje,November: Election day. Soldiers guarding polls light fires to keep warm. Democrats who had planned to seize the ballot box feared blacks were burning the town. Armed blacks arrive to prevent Democratic action. Clash between blacks and Republican leadership leaves the mayor and a local judge killed by their own partisans.
,1870.11,riot,political,5,New Orleans,HC_1870_11_10.pdf,4 Republicans killed and 2 wounded. Marshall Scoonmaker killed.
,1870.11,lynching,"race, political",4,"Union County, SC",Gilje,"November: Klan very active, murdering a white Republican J.P., whipping a probate judge and murdering several blacks."
,1870.11,lynching,race,11,"York County, SC",Gilje,"November: Perhaps the most active Klan in SC. Almost nightly raids occurred leading to at least 11 murders and 600 cases of whipping, assaults, etc., and countless threats."
,1870.12,riot,race,3,Union,Gilje,December: Black militia murder white bootlegger and Confederate veteran. Next days crowds of whites seize blacks and weapons. At one black house gun battle occurred and a man on either side killed.
,1870.12,lynching,race,1,"York Co, SC",Gilje,"December: Raiding began in October, but outsiders began to note it after the murder of Tom Roundtree by 50 or 60 KKK."
X,1871.00,lynching,race,,"Clarendon and Sumter Co, SC",Gilje,"Early: KKK active harassing merchants dealing with and helping blacks, and occasionally whipping and murdering blacks."
X,1871.00,riot,"political, race",0,Putnam Co,Gilje,Race riot during an election to replace a murdered black official.
,1871.00,lynching,,1,"Stanton, KY",Gilje,Spring: White man lynched.
,1871.01,lynching,race,1,"Lexington, KY",Gilje,January: KKK shot and killed a black man.
,1871.01,riot,labor,2,"Scranton, PA	",Gilje,"January: Attacks on scabs became so intense that governor ordered out the militia. The mob disarmed the 1st company sent there. In a second confrontation, someone shot a gun and the 2nd company of militia fired a volley in the striking miners, killing two and wounding others."
,1871.01,riot,race,1,"Stamping Ground, KY",Gilje,"January: KKK attack beaten off, one Klansman killed."
,1871.01,lynching,race,9,"Union Co, SC",Gilje,"January: About 40 blacks attacked and murdered a white Confederate veteran who had lost an arm during the war. Subsequently 13 were arrested. The KKK removed 5 prisoners from jail. When the remaining 8 were about to be shipped to Columbia, between 1000 and 1500 disguised and mounted seized the men and shot them to death."
,1871.02,lynching,"extralegal, race",10,"Union, SC",Gilje,"February: 500 masked robed KKK rode into town at night. They showed great discipline. They broke into jail - seized 10 blacks charged with murder. The next day two blacks were found hanging from a tree and six blacks tied to trees and bodies riddled with bullets. Two escaped, were later captured by authorities, tried, convicted and executed."
,1871.03,lynching,race,1,"Charles Co, GA",Gilje,"March: About 50 KKK took Charles Clarke out of the jail - he was charged with raping a white woman - and hanged him. Local blacks had ealier organized to prevent this action but had been persuaded to disband on assurances of protection by local officials.	"
D,1871.03,riot,race,40,"Meridian, MS",HC_1871_03_08.pdf,Meridian Court riot
,1871.03,riot,race,40,"Meridian, MS",Gilje 1996:98,"March: At court hearing for six blacks arrested on trumped up charges of arson, shooting, and a melee broke out. The judge and two of the blacks killed. This initiated a purge in the town in which whites killed as many as 30+ blacks."
,1871.03,lynching,"extralegal, race",1,"Sandersville, Washington Co, GA",Gilje,March: Group of 200 entered the town and lynched a black held for arson.
,1871.03,lynching,race,1,"York Co, SC",Gilje,March: 40-50 KKK raided black militia captain Jim Williams' home. Took him outside and hanged him from a tree.
,1871.03,lynching,race,1,"York Co, SC",Gilje,March: About 20 to 30 KKK shot black militiaman Alex Leech and threw his body in the creek.
,1871.04,lynching,race,1,"Washington Co, GA",Gilje,April: About 100 KKK in disguise came to Scipio Eager's cabin. They shot his brother because he could read and write and had tried to establish a school. They took Scipio out into the woods and whipped him.
,1871.05,riot,race,3,"Estill Co, KY",Gilje,May: KKK reportedly killed three men during local election.
,1871.05,riot,labor,1,"Hampton, PA",HC_1871_05_10.pdf,Strikers vs. scabs
,1871.05,lynching,race,1,"Haralson Co, GA",Gilje,May: Black man killed for consorting with white woman.
,1871.05,riot,race,1,"Kemper Co, MS",Gilje,"May: KKK raided plantation belonging to ex-Governor RC Powers to kill a black man living there. In the ensuing gun battle, one attacker was killed."
,1871.05,assassination,"race, political",1,"Newberry, SC",Gilje,"May: KKK attacked home of black county commissioner. He fought back wounding one man who was later captured. After he was bailed out, and fearing he talked, the KKK assassinated the man."
,1871.07,riot,race,1,"Barnwell Co, SC",Gilje,"July: 25 armed blacks attacked the house of a white man they believed had wronged one of their number. The white man, his wife and mother were all wounded. Another white, visiting, was killed."
,1871.07,riot,race,2,"Jackson Co, GA",Gilje,July: JQ Holliday promised to protect his black workers. Because of this about 30 KKK attacked his house. He fought them off and claimed to have killed two. But his mill and cotton gin were subsequently burned and his black workers driven off.
,1871.07,lynching,race,1,"Louisville, GA",Gilje,"July: Band of whites raided the jail and seized 9 black prisoners. They cropped the ears of 7 - accused of various misdemeanors - and released them and one other. They took the 9th, charged with arson, back to jail and shot him."
D,1871.07,riot,ethnic,100,NYC,HC_1871_07_14.pdf,Hibernian Riots: Orangemen vs. Catholics
,1871.07,riot,ethnic,56,NYC,Gilje,"July: Orangemen again celebrate battle of Boyne, protected by National Guard. Somebody fired a shot at the parade. Other items thrown, some more shots fired. Two of the regiments fired into the attackers. The militiamen cleared the streets. Orangemen went home. 54 dead, many wounded. Two police killed."
,1871.07,riot,political,2,"Wilmington, NC",HC_1871_07_31.pdf,"A Negro and a policeman killed, a number of wounded"
,1871.08,riot,"race, political",4,"Frankfurt, KY",Gilje,"August: Race riot broke out during elections. Fighting between blacks and whites; two whites killed, several wounded on both sides. Militia called out. Black accused of starting shooting placed in jail. Militia dismissed or abandon post. Mob of 35 to 40 men appeared, took the black, and another black prisoner charged with rape and hanged them."
,1871.09,lynching,race,1,"Belmont, AL",Gilje,September: Black man held in jail as a result of 1870 crisis over blacks arming. He was taken out and lynched by KKK.
,1871.09,lynching,race,1,"Sumter Co,AL",Gilje,September: Whites lynched black man named Zeke High who was held in jail for killing a night rider.
D,1871.10,riot,ethnic,19,Los Angeles,HC_1871_10_26.pdf,Americans vs Chinese. 16 Chinese hanged by the mob. Thompson killed. 2 more bodies of Chinese later found.
,1871.10,riot,ethnic,20,Los Angeles,Gilje,"October: Contest between two rival Chinese gang leaders over a prostitute led to a gunfight. When a policeman and a citizen interfered, they were shot. The citizen died. Whites then began a general attack on Chinese in Chinatown, bottling up several in one house, driving others out of the area. The crowd looted empty dwellings, eventually broke into the Chinese stronghold, hanged at least 15 Chinese. Several others were also killed."
,1871.10,riot,labor,1,"Oak Lake, MN",HC_1871_10_27.pdf,Northern Pacific strike. Swedes vs. Blacklegs (scabs). 1 Swede killed
D,1871.10,riot,political,4,Philadelphia,HC_1871_10_11.pdf,Whites vs. blacks. Four or five men were killed and twenty-five wounded.
,1871.10,riot,political,4,Philadelphia,Gilje,"October: Election rioting broke out in several wards as whites strove to prevent blacks from voting. At least four blacks killed. Democratic police did nothing to prevent these attacks. One victim's head was smashed in by whites, another was shot in the back on his way home from work."
,1871.10,lynching,race,3,"Winchester Co, TN",Gilje,October: Klan lynched 3 blacks led to public meeting against it.
,1871.12,lynching,"extralegal, race",3,"Chicot Co, AR",Gilje,December: 300 blacks break into jail and seize three whites accused of murdering a black leader. The blacks took them to the edge of town and shot them. They then returned the corpses to jail.
,1872.01,riot,race,4,"Rochester, NY",NYT,A mob attempted to remove a Negro prisoner from the authorities to lynch him; soldiers shot into the crowd.
D,1872.03,riot,race,1,"Nashville, TN",HC_1872_03_27.pdf,"David Jones, colored, shot by the mob, died. "
,1872.03,lynching,"race, extralegal",1,"Nashville, TN",Gilje,"March: Mob of whites lynch Davy Jones, a black charged with murder and burglary. The mob shot Jones in his jail cell, took him into the streets and dragged to a lamp post and hanged him. Police then interceded and rescued him, but Jones died the next morning."
,1872.04,lynching,extralegal,3,"Gunn Co, MO",Gilje,"April: 50 Case Company men, clad in white clothes, fired into a train carrying three public officials charged with corruption in issuing railroad bonds. When they were attemping to escape from Harrisonville to Kansas city. They dragged the three men off the train and murdered them. Crowd swelled to 200 as they battered the bodies with bullets."
,1872.09,riot,"race, labor",4,"Perth Amboy, NJ",HC_1872_09_26.pdf,Black vs white railroad workers. 3 blacks and 1 white killed.
,1872.10,riot,"race, political",5,"Macon, GA",Gilje,"October: Fight between blacks and whites over who was vote first. First bricks thrown, then pistols fired. One white and four blacks died. Several on both sides wounded."
,1873.03,riot,section,1,New Orleans,HC_1873_03_07.pdf,US troops vs. rebs. Canon was used.
D,1873.04,riot,"political, race",108,"Colfax, LA",HC_1873_04_16.pdf,Negroes vs. whites. 80-100 blacks killed and several whites.
,1873.04,riot,"political, race",108,"Colfax, LA",Gilje 1996:98,"April: A force of 100 whites attacked the black stronghold, held by 250 to 400 blacks. The whites sent a force of 30 men to a gap in the black lines. This flanking maneuver worked. Blacks were driven off in disarray. About 150 held up in the court house. Whites surrounded it, fired into it, burned it, shooting those fleeing. The whites captured at least 40 or 50, and executed many of those. Total casualties about 100 blacks dead, at least two whites died.	"
,1873.04,lynching,race,1,"Colfax, LA",Gilje,"April: Whites supporting the Democrats attempted to recapture the town that had been seized by black Republicans, but were driven off. Fifteen of this force shot a black farmer as he was mending a fence."
,1874.00,riot,race,3,"Forkland, Greene Co, AL",Gilje,"Fall: Fearing black insurrection, whites chased blacks into the countrysdide and killed and wounded several. Federal troops sent in to pacify area during election.	"
,1874.01,lynching,extralegal,1,"Denison, TX",Gilje,January: Horse thief lynched and another punished by vigilantes.
,1874.02,riot,labor,1,"Newport, KY",Gilje,February: Iron workers strike turns violent when armed strikebreakers fire and kill bystander when strikers harassed the strikebreakers on the way from work. Strikers then attacked scabs and drove them from town.
,1874.04,riot,political,1,"Little Rock, AR",Gilje,"April: Armed Republicans fight over contested elections and control over the state. On the 20th gun battle left one dead, one wounded. With one side supported by Democrats."
,1874.04,riot,"political, race",9,"Pine Bluff, AR",Gilje,April: Contesting forces for control of state fight again. Nine killed.
,1874.05,lynching,race,1,"Bostrop Co, TX",Gilje,"May: Mr. Scoby from Massachusetts had gone to Texas to teach blacks. A drunken mob came to his home, called him out and killed him."
,1874.08,riot,race,1,"Austin, MS",Gilje,"August: White mob freed white man held in jail accused of killing a black girl. Blacks marched on the town, whites briefly resisted, wounding two blacks, but  then abandoned the town. Blacks ransacked several stores. Armed whites from Memphis approached, killed a black picket. Blacks scattered and whites took possession of the town."
,1874.08,lynching,"political, race",6,"Coushatta, LA",Gilje,"August: Large body of white Democrats seize six leading Republicans, some others and a handful of blacks on the basis that there was a planned black insurrection. The Republicans, which included some office holders, agreed to leave the state. As they were being escorted away, they were executed, some of the bodies being mutilated. The escort claimed some firebrands did it."
,1874.08,riot,political,2,"Lancaster, KY",HC_1874_08_24.pdf,"Republicans vs. Democrats. 2 Negroes killed, a Democrat shot down. Several wounded on both sides."
D,1874.08,riot,race,16,"Pickettsville, TN",NYT,A conflict between blacks and whites. 2 whites shot at by a crowd of blacks. A supposed plot to kill whites. 16 negroes arrested and put into jail. A masked mob takes them from prison and shoots them all.
,1874.08,riot,race,16,"Pickettsville, TN",HC_1874_08_27.pdf,A conflict between blacks and whites. 2 whites shot at by a crowd of blacks. A supposed plot to kill whites. 16 negroes arrested and put into jail. A masked mob takes them from prison and shoots them all.
,1874.08,riot,political,4,"Sommerville, TN",HC_1874_08_10.pdf,"A day after election. Fighting started from a conflict between Cash Warren, a prominent Negro politician, and Mayor Hendon and his cohorts. 4 killed including a Radical candidate for Sheriff."
,1874.08,lynching,race,4,"Trenton, TN",Gilje,"August: Officials arrested several blacks based on fears of black insurrection. A mob of 75 to 150 whites broke into the jail, took 16 blacks, marched them to a bridge about 400 yards away and started shooting. Four blacks were killed, two were wounded, the rest somehow escaped."
D,1874.09,riot,political,32,New Orleans,HC_1874_09_15.pdf,Metropolitan Brigade (blacks officered by whites) vs. White Leaguers
,1874.09,riot,political,32,New Orleans,Gilje 1996:97,"September: White Leaguers and white Democrats made a bid to seize the state government. In a series of street battles they drove black militia and Metropolitan police back. In the fighting the Metropolitan police lost 11 killed, 60 wounded; White Leaguers lost 21 killed, 19 wounded. Many bystanders may have been hit as well. Federal troops restored the government to Republicans a few days later."
,1874.10,riot,political,3,"Jackson, LA",HC_1874_10_19.pdf,"The Breuax vs. Gair men. 4 colored men shot, 3 probably fatally."
,1874.10,lynching,race,1,"Kemper Co, MS",Gilje,October: Whites seized a black man and on weak circumstantial evidence charged him with murder and lynched him.
,1874.10,riot,ethnic,1,"Mahanoy City, PA",Gilje,"October: Two fire companies clash on way to fire: one was comprised of Welsh and Protestant Germans, the other Irish. During the affray one official was killed. These riots occurred with some frequency."
,1874.10,riot,political,1,"Mongomery, AL",NYT,Factional infighting between two parties
,1874.10,riot,economic,5,"Silver City, NV",NYT,A BLOODY AFFRAY.; TWO PARTIES SEEKING TO CONTROL A NEVADA MINING COMPANY--FOUR MEN KILLED AND ANOTHER MORTALLY WOUNDED.
D,1874.11,riot,political,3,"Eufaula, AL",HC_1874_11_06.pdf,White Democrats vs. Black Republicans. Several blacks were killed and 1 Democrat.
,1874.11,riot,political,7,"Eufaula, AL",Gilje,"November: Election riot. About 700 blacks march in together to vote. Under advice of leaders most disarm. During voting, a scuffle between a white and a black man led to whites firing into blacks. Seven or eight blacks - at least - killed. 70 or 80 persons wounded including about 12 whites. Whites claimed blacks started the riot. Troops nearby did not interfere."
D,1874.11,riot,political,3,"Mobile, AL",HC_1874_11_06.pdf,White Democrats vs. Black Republicans. Several riots in which many negroes were killed or wounded.
,1874.11,riot,race,3,"Mobile, AL",Gilje,"November: Armed and mounted whites in grey Confederate uniforms, patrolled the streets to prevent and limit black voting. They shot several blacks. In one incident, they fired into a procession of 150 blacks marching to the poll. At least three blacks killed. Democrats won the election."
,1874.11,riot,political,1,NYC,HC_1874_11_03.pdf,John McKenna was wounded fatally
,1874.11,riot,ethnic,4,Pittsburgh,HC_1874_11_30.pdf,Italian Miners vs. Americans. 
D,1874.11,riot,political,1,"Spring Hill, AL",HC_1874_11_06.pdf,Democrats vs. Republicans. A charge was made on the ballot box by the democrats who killed one white republican.
,1874.11,riot,political,1,"Spring Hill, AL",Gilje,"November: Whites attack Republican judge and poll watcher during election, killing Judge Kiel's son and burning the ballot box. Soldiers nearby did nothing. This was in same county as Eufaula."
D,1874.12,riot,race,13,"Vicksburg, MS",HC_1874_12_08.pdf,Whites vs Blacks. 12-15 (or 25) blacks and 1 white killed.
,1874.12,riot,race,13,"Vicksburg, MS",Gilje,"December: three columns of blacks approach the city to reinstate Sheriff Crosby. Whites intercept. One column was convinced, partly by Crosby, to withdraw. As they did whites opened fire, driving them into a rout. Armed whites attacked the 2nd column, driving them off. The 3rd column fired at a policeman and some whites, but ran when confronted with concerted opposition. That night whties ransacked black homes. 12 blacks and one white killed; many more wounded."
,1875.02,lynching,extralegal,3,"Mason, TX",Gilje,"February: Mob attempts to hang several members of the Backus gang, held for murder. They took the members out of jail, started to hang them, shot them and were interrupted by peace officers who managed to rescue some of the hanged men. The mob was referred to as the Voodoos."
,1875.03,riot,labor,1,"Hazelton, PA",HC_1875_04_01.pdf,Miners vs. authorities. The killing of McDermott at Upper Lehigh was an accident.
,1875.05,lynching,extralegal,1,"Nashville, TN",Gilje,"May: White mob lynched Jo Reed, a black who had killed a policeman while resisting arrest. After taking Reed from jail he was led through the streets with a rope around his neck, shot, and then hanged from a bridge. After a while the rope broke and his body fell into the Cumberland River."
D,1875.07,riot,race,8,"Vicksburg, MS",HC_1875_08_27.pdf,Whites vs. Blacks. 8 blacks killed
,1875.07,riot,race,4,"Vicksburg, MS",Gilje,"July: 4th of July celebration erupts into violence after black secretary of state gave speech at courthouse. A group of whites began to scuffle with blacks outside. A shot was fired and blacks inside the courthouse panicked and began escaping as best they could. After a pause in the action, more whites - at least 60 - began shooting at blacks, killing four before the crowd dispersed."
,1875.08,riot,race,12,"Macon, MS",Gilje,"August: White horsemen, including over 100 Alabamans attacked a black church, killing 12-13 blacks."
D,1875.09,riot,race,40,"Clinton, MS",HC_1875_09_08.pdf,The Clinton Massacre. Whites against black republicans. 
,1875.09,riot,race,40,"Clinton, MS",Gilje,"September: Political barbeque erupted into violence. The audience was largely black and Republican. Democrat white hecklers were attacked. Shots exchanged. Three whites killed, four blacks. Whites from Vicksburg and elsewhere quickly arrived in town. These men whipped blacks and shot many. At least 30 blacks killed before Federal troops arrived. Later, whites killed three black leaders."
,1875.09,riot,race,3,"Yazoo City, MS",Gilje,September: Political meeting including Democrats and Republicans erupted into fighting. Gunshots exchanged. A black deputy was killed. Foner says several blacks killed. Carpet bagger Sheriff Albert T. Morgan driven from state. He had married a black and helped blacks obtain property.
,1875.09,lynching,"race, political",3,"Yazoo City, MS",Gilje,"September: White bands hanged several radical leaders, driving Republicans from election after earlier confrontations."
D,1875.09,riot,"political, race",3,"Yazoo Co, MS",NYT,Armed bodies overthrew the civil authorities. Various murders committed; Warren Co. is also reported in the state of terrorism
,1875.10,riot,race,10,"Coahoma Co, MS",Gilje,"October: Black and white forces clash. In battle, two blacks and one white killed. Black sheriff forced to flee. Foner say riot began when whites attacked a meeting address by black sheriff John Brown. He says six blacks and two or three whites killed and Brown was forced to flee. Hennessey says five blacks, two whites killed."
,1875.10,lynching,"extralegal, race",2,"East Feliciana Parish, LA",Gilje,"October: A sheriff's posse arrested a black man and woman on charges of poisoning a doctor, but vigilantes captured the two, shooting the man and hanging the woman."
,1875.10,riot,ethnic,1,"Pottsville, PA",NYT,RIOTING IN THE COAL REGION.; A MURDEROUS JEALOUSY BETWEEN THE IRISH AND THE WELSH AND ENGLISH A WELSHMAN MURDERED.
,1875.10,riot,race,2,"Rose Hill, MS",Gilje,"October: Estimated 500 whites broke up a Republican meeting, killing two blacks."
,1875.11,riot,"political, race",4,"Columbus, MS",Gilje,"November: Whites attack election eve procession of blacks. Soon thereafter two fires broke out in town. Whites, fearing black incindiarism, cordoned off the town, seized blacks and their weapons, shooting 7 blacks, killing 4. For a month afterwards blacks hid in the woods."
,1875.12,riot,race,1,"Clinton, MS",Gilje,"December: Whites ambush black militia leader Charles Caldwell at a store. They pumped him full of 30 to 40 bullets, killed his brother who went for help and abused his body."
,1875.12,lynching,race,6,"Rolling Fork, MS",Gilje,"December: On the 5th hordes of whites seized six blacks, whom they later executed three at a time."
,1875.12,riot,labor,1,"Wiggins' Patch ,PA",Gilje,"December: Vigilantes organized by coal operators attack miners' home. The attackers were disguised, wounded James McAllister, killed Charles O' Donnell - captured and then shot him and killed Mrs. Charles McAllister."
,1876.00,riot,race,3,"East Baton Rouge Parish, LA",Gilje,"Regulators or ""bulldozers"" claimed to be acting against thieving blacks and unscrupulous white storekeepers. By 1876 they had destroyed several stores and whipped or hanged black farmers. They also attacked Republican office holders, forcing them to resign, broke up Republican meetings, practiced electoral fraud, and killed several blacks."
,1876.00,riot,political,1,"Edgefield, SC",Gilje,"Fall: Republicans attempted to hold rallies in the countryside. Dems disrupted these, including a rally led by Governor Chamberlain in Edgefield. In some instanced white Dems beat and even killed blacks."
,1876.00,lynching,race,2,"West Feliciana Parish, LA",Gilje,"Fall: Regulators assaulted a German storekeeper who was an active Republican, hanged two planters for living with black women and whipped several blacks for stealing cotton. They also pursuaded four police jurors to resign."
,1876.01,riot,race,2,"Edgefield, SC",Gilje,"January: After the house of a white man burned down, a white posse attempted to seize some black militiamen. A gun battle ensued in which two blacks died."
,1876.03,lynching,race,2,"Clinton, LA",Gilje,"March: Bulldozers hanged two black girls, one of whom was pregnant."
,1876.04,lynching,extralegal,1,"Dallas, TX",Gilje,April: Vigilantes execute horse-thief named McBride.
,1876.05,lynching,race,6,"Edgefield, SC",Gilje,"May: After an old man and his wife were killed, the sheriff arrested six blacks. A group of whites took the prisoners out of jail and shot them. All were killed."
,1876.05,riot,political,3,"Indianapolis, IN",HC_1876_05_03.pdf,"Democrats vs. republicans. 1 black killed, 2 others probably fatally injured."
,1876.05,lynching,race,5,"West Feliciana Parish, LA and Wilkinson County, MS",Gilje,"May: Regulators had been bulldozing black office holders into resigning, murder of storekeeper named Aronsen provided excuse for more terror. White Democrats claimed blacks killed him because he pistol whipped a black. Republicans claim whites killed him for buying stolen good from blacks. Bands of whites began cruising the countryside. they seized at least five blacks and hanged them. Several clashes occurred."
